id,translation.pbb,translation.spa
1543,jyuca,todo (adj)
272,caaimi'a'j,dar a la hija en casamiento (v.t)
640,cjīij chwa',sombrero de hoja de caña
489,cdeeje'j-,adormecer (v.t)
3277,vitywe'sh,ser sobrenatural (m)
2324,puīini,pelea (f)
189,ayuy,por acá
587,"cjaavi'ji-, cutyj shande-",desgranar (maíz) (v.t)
108,anzh-,pelar los dientes (perro) (v.i)
57,aj,lugar (m)
3725,zits,huevo (m)
2678,sñula-,salir mazorcas (v.i)
2951,tundte,rato (adv)
1382,īts-,cocer (hervir un líquido) (v.i)
2000,"pajnde-, (rep) pandende-",zafar (v.t)
782,"ctejca-, uycjẽw-",atravesar (pasar de un lado a otro) (v.t)
1273,fyutsute-,desarmar (v.i)
847,cumby ya'ja,jigra de tejido flojo
3274,vitvite,uno tras otro
3256,vit vite,uno tras otro
1887,nyafytewe'sh,primero (m)
2758,"tacj-, pũ'tyj-",comenzar (v.t)
999,cyuupj-,encerrar (v.t)
1054,dyij yuunī,hechicería (f)
699,cmeemu'j-,hacer cantar (v.t)
3271,vitu-,echar a perder (v.t)
1717,naa,"este, esta, esto (pron.dem)"
606,"cjas shunde-, cjaasu'j",cardar (lana) (v.t)
1139,"ẽse-, (rep) ẽse'se-",moverse (v.r)
2336,pund-,hilar (v.t)
3765,v'ite iamuwa' hi'pmesa,lo que otra persona no puede apoderarse
1380,i'sutj,honda (f)
3055,tywete-,soltar (v.t)
678,claa luuch,becerro (m)
2220,pinzú,aliso (árbol) (m)
2662,sinzha-,cinchar (v.t)
1639,"manzcuẽe, manz manz, nanzcuẽ","unos cuantos, pocos (pl)"
2105,peetje-,dar sabor (v.i)
3609,yu' susũu-,escurrir (v.t)
1640,masaī-,amasar (v.t)
3608,yu' caaj-,regar (agua) (v.t)
1831,"nus en, nus pa'ja en",invierno (m)
2407,pytjaa yajcy-,sentir pesar (v.t)
2705,-su,por (a través) (prep)
1168,etste pa'ya-,pasar lista (v.t)
1439,ji'pju-,contener (v.t)
1582,"le'chi-, tuwúu-",mermar (v.i)
3094,"ujcha-, pjate-, pjatete-",rajarse (v.i)
632,cjẽetee,boca arriba (adv)
2607,"shinde-, (rep) shinde'nde-",erizar (v.t)
2945,tund,atado (m)
3691,yuuwe,delito (m)
855,"cupe, tyi'fy",lechuza (ave nocturna) (f)
1249,fynu,sitio abandonado (m)
425,canzh,feo (adj)
1809,nmejtewe'sh,postrero (adj)
3166,uswa'l,chachafruto (árbol) (m)
1130,e'nzīi,ambos (adj.pl)
1349,infiernu,infierno (m)
1211,findy,coyuntura (f)
3653,yup-,atajar (v.t)
2777,ta'ngu,vuelta (recodo del canino) (f)
1769,"neeniisa, iicjala",ahijada (f)
1942,ora,hora (f)
600,cjãp,fétido (adj)
3360,wa'ty- (wa'cy-),picar (víboras) (v.t)
947,cweejya'j-,aventar (v.t)
2557,se'w-,insertar (v.t)
297,caapcjaacje'j-,hacer reunirse (v.t)
628,cjavy,grano (semilla) (m)
2432,quīj yujva,nada (pron.indef)
2443,qui'na,chorro (m)
1362,"ipy quityãa-, ñiñi-",prender (candela) (v.i)
340,caastyaja'j-,amansar (v.t)
237,bush,andamio (m)
1963,pãatyjī'cj-,quejarse (presentar queja) (v.t)
2884,tsep,planchudo (adj)
2816,teepjute-,dar volteretas (v.i)
103,andyi'j-,secar (v.t)
3670,yutjãa,soplador (m)
2541,seena' wala,muchísimo
3434,"wendy-, peeygãj-",asar (v.t)
3510,yafy dyus,niña del ojo (f)
2433,quījva,algo (pron)
536,chinda pẽtyj,empeine (m)
1751,nchi'c,hijo (m)
1265,fytũu watse,raíz de árbol
698,cmbu'mbu'j-,hacer zumbar (v.t)
528,chijme yuuni,pálido (adj)
1393,ja'll-,estregar (v.t)
1075,"eca, ecate",afuera (adv)
1129,"enzh, shul'",aguado (adj)
1053,dyij yuuni,brujería (f)
1694,"mtee, mgaa","donde, adonde, ¿dónde?, ¿adonde? (adv)"
1120,en,tiempo (m)
3016,tyacjuey,tamaño (m)
1612,luuch icjsa,infanticida (f)
1479,"jya'ndy-, (rep) jya'ndyi'ndyi-",palpar (v.t)
497,chacha,viche (adj)
2427,quīitsju-,inclinar (la cabeza) (v.r)
1516,jypumba-,equivocarse (v.r)
2115,peeygãj-,compadecer (v.t)
1015,deewẽje-,tener sueño (v.i)
3059,tyweyni,vendido (p.p)
182,"avy-, (rep) avytjetj-",escupir (v.t)
2345,"pu'quis-, (rep) pu'quisu's-",alzar (a otro con la mano) (v.t)
197,bajts,fique (m)
75,ajtsajtse,"desprecio, con desprecio (m)"
1731,nasa icjsa,homicida (adj)
1987,pacjẽ,trama (hilo horizontal del telar) (f)
3516,yafyte vyaasamẽe,invisible (adj)
482,"cchill wala, chill wala",machete (m)
2500,-rrãa,solo (adj)
2963,tupjãa-,humedecer (v.t)
1669,meshish,hongo (m)
1742,nasa yuwe,páez (idioma) (m)
1879,nwe'wesa,salvador (m)
1415,jīi vit-,redimir (v.t)
3129,u'p-,estar (v.i)
1386,"ītyī fi'nzeni, ītyī fi'nzewa'j, fi'nzeni , fi'nzewa'j",vida (f)
2590,shba'mb,carne espumosa
2043,pcamb-,regar (cosa molida)
2680,spãash-,descargar (v.t)
1092,ẽeīi cus,temprano en la noche
286,"caanishi'j-, cniishi'j-",engordar (v.t)
1776,neewe'weni,encomienda (f)
3009,"tyãawe'sh, cyãawe'sh","su, sus (de ellos, ellas)"
3173,utse tash,mata de aguacate
584,"cielu, ẽe tsẽy",cielo (m)
1096,eena',atento (adj)
3404,wej,puente (m)
2693,spiina'sa,brea (f)
1136,e'scjẽ,detrás (adv)
3519,ya'iweech-,ser burlado (v.i)
3492,yacj,con (prep: indica acompañamiento)
2119,pejca,realmente (adv)
663,cjuẽs,juez (autoridad) (m)
2508,"sa'j-, jysa'j-, iisa'j-",bajarse (v.r)
936,cvis-,provocar (v.t)
1852,nuypesa-,traer (a través) (v.t)
3533,yajcy-,sentir (v.t)
3112,ul weeswẽe,víbora (f)
1145,e'sh,hipo (m)
3417,wejya,aire (m)
2079,pecu'j,alrededor (adv)
1671,me'sucue,cilantro (m)
3275,vity,puerta (f)
941,cwa'lu'j-,desagradar (v.t)
581,chwa' ets,ala de sombrero (f)
2148,peme'j-,curar olla (v.t)
2953,tundy-,tomar (beber) (v.t)
2981,tutu'tu-,canturrear (v.i)
491,cdeewayi'j-,hacer bostezar (v.t)
1164,etse,frío (m)
2764,"tall (persona), zunz, zunzcuẽ (cosa)",delgado (adj)
1469,jwẽenzh,agüinche (m)
757,cpu'nzesawe'sh,padrinos (de matrimonio) (m.pl)
2471,quītj ej,sembrado de maní (m)
3750,éete Yuwe Dukhsa pkhakhen'i,reunión de vocero(s) o representante(s) de arriba (cámara alta)
2857,tjuc-,estrangular (v.t)
1109,"ejnz, enz en, sec en",verano (m)
169,atsju-,trabar (v.t)
954,cweetj-,alumbrar (v.i)
132,at-,coger (en la mano) (v.t)
3018,tyaj-,construir (v.t.)
703,cna'sa,joven (mujer) (f)
2460,qui'sute,semanalmente
841,"cu'le, sut",recto (adj)
496,cfindũu-,poner travesaño (v.t)
3661,yu'quits,zanjón (m)
2388,puuty ya'tywey-,vender (unos a otros) (v.recip)
3629,yu'cja-,crecer (monte) (v-i)
3788,v'ite c'hab wala kiwehuwe's' akac'hn'ime,sin influencia de ningún extraño
1603,lmushnu,limosna (f)
3102,ũjpa-,estallar (v.i)
2370,"puuts-, sã'ji-",alimentar (v.t)
722,cpaanwe'we-,lograr Intervenir (v.t)
3398,"wẽeshu-, iiwẽeshu-",insultar (v.t)
2163,pesatj,atravesado (p.p)
2152,pendani,tumba (f)
2687,spate-,encogerse (v.r)
525,chijmchijme,blancuzco (adj)
3511,yafy ji'pjmeesa,ciego (adj)
940,cwa'lu'j-,causar pereza (v.t)
1617,"luuch, luuch u'y, wasacuẽ",niña (f)
359,caauycjẽu'j-,hacer pasar por (v.t)
3654,yup-,impedir (v.t)
1310,iipyãani,celos (m.pl)
3167,ũsya' neeyũu-,prometer (v.t)
3508,yafy cjas,pestaña (f)
3135,upjãa-,cercar (v.t)
2037,payu pjeelu,bayo cariblanco
1932,ñuspa',agradable (a la vista) (adj)
843,cu'le'j-,enderezar (v.t)
3574,yat punza,rincón (m)
2649,"shuuna' ũs-, shuuna' u'p-",estar callado (v.i)
143,a'te,luna (f)
53,afijmb-,tapar (por encima) (v.t)
1244,fycaach-,deshojar (maíz) (v.t)
1874,"nwe'sh, pwe'sh","pariente (m,f)"
2376,puuty tyutẽe-,despedirse (v.r)
3181,uu-,fallecer (v.i)
649,cjlse,catarata (f)
1194,fiesta en,día festivo
2674,"snda'nda-, sndaanda-",sonar (ruido de cascabel) (v.i)
2131,pe'la,trozo (m)
3317,"wagãs, mushca (T)",gente (no indígena)
3046,tyuj,gorrión (ave) (m)
516,"chcande- (shcande-), (rep) chcandende- (shcandende-)",quebrar (v.t)
3490,yacha-,acalorarse (v.r)
3118,umbu-,derramarse (v.r)
3613,"yu'a-, yu'wa-",volverse agua (v.i)
886,cuse watse,tendón (de la mano) (m)
2833,tjame-,tener vergüenza (v.i)
186,aygawe'sh,nativo (adj)
2928,tucjãa-,supurar (v.i)
3101,"ujnza, ulu'j",ratón (m)
833,"cuj, cũj",varios (adj)
1203,fiinze'j-,enfriar (v.t)
2789,"tashu, cjẽcjenaaju",abajo (adv)
2331,pu'jycjẽw-,encontrarse con otro que viene de rumbo opuesto y pasar
242,butswee wajwa,varicela (f)
993,cytũus,arco iris (m)
2201,"pi'cy-, jypi'cy-",convidar (v.t)
629,-cjẽ,"abajo, hacia abajo (adv)"
3733,zuntete-,resplandecer (v.i)
3690,yuuwe,culpa (f)
3191,ũucj yajcy-,atemorizarse (v.r)
766,"cselpi'j-, caaselpi'j",hacer servir (v.t)
2266,pnjī'yacue,tía con sobrino o sobrina
1924,ñusha beca pus,guarapo (fermentado)
3666,"yũsu-, ñusna ũs-",estar triste (v.i)
950,cwẽese'j-,permitir oír (v.t)
1540,jytyunde-,compartir (v.t)
2478,quityj i'tyji-,caer una gotera (v.i)
97,and-,enrollar (v.t)
2647,"shũulape, shuulepja, shũuwa'c, shũuwe'tj, shũuyu'tscavy",yerba medicinal (f)
2848,tjetj-,lavar (ropa) (v.t)
546,chjãchja-,recuperarse (v.r)
3007,"tyaa, yacj, cyaa, yacj",consigo
2049,pchanga,"verbena, escoba babosa (planta) (f)"
383,cacja,caja (f)
