nasa_yuwe,nasa_yuwe_raw,spanish,english,pos,semantic_domain,notes,sources,n_sources
"-ca, (-ga","-ca, (-ga","en, de","in, of, from",locative suffix,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
-cjé,-cjé,"abajo, hacia abajo",,,,,paper_2024,1
-cjẽ,-cjẽ,abajo,,locative suffix,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,swarthmore_talking",3
-dyij-,-dyij-,ciertamente,,sufix,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
-dyiji-,-dyiji-,casi,,sufix,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
-ju,-ju,con,,sufijo instrumental,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_test,living_dictionaries,paper_2024,swarthmore_talking",4
"-ju,-u,-uj","-ju,-u,-uj","de, desde (prep)",,,,,"broomva_train,paper_2024",2
-mañ,-mañ,,,q,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
"-na,-n","-na,-n",a (indica el lugar a que se encamina) (prep),,,,,"broomva_validation,paper_2024",2
-pa'ga,-pa'ga,por (prep),,,,,"broomva_train,paper_2024",2
-pcach,-pcach,hasta,,suff,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024,swarthmore_talking",4
-pcachja,-pcachja',"mientras, durante...",,suff,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024",3
-pcachja’,-pcachja’,"mientras, durante...",,suffix,,Hablante: Francy Yanet,swarthmore_talking,1
-pcachte,-pcachte,en vez...,,suff,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
"-rrava,-teva","-rrava,-teva",aunque (conj.advers),,,,,"broomva_train,paper_2024",2
-rráa,-rráa,solo,,,,,paper_2024,1
"-rráa,-rrarráa","-rráa,-rrarráa","solamente, sólo",,,,,paper_2024,1
-rrãa,-rrãa,solo (adj),,,,,broomva_train,1
"-rrãa,-rrarrãa","-rrãa,-rrarrãa","solamente, sólo (adv)",,,,,broomva_train,1
-su,-su,por,,locative suffix,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024,swarthmore_talking",4
-te,-te,en,,locative suffix,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
"-te,-ca,-ga","-te,-ca,-ga",en (prep),,,,,"broomva_train,paper_2024",2
-tjas,-tjas,como si fuera,,suff,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
-va,-va,también,,suff,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024,swarthmore_talking",4
-vacy (-va'cy,-vacy (-va'cy),pues,,suff,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as",living_dictionaries,1
-vacy (-va’cy,-vacy (-va’cy),pues,,suffix,,"Hablante: Gerdel and Slocum, 1983.",swarthmore_talking,1
"-vacy,-va'cy","-vacy,-va'cy",pues (conj),,,,,"broomva_test,paper_2024",2
a'ch,a'ch,el carrete de barro para asentar olla,clay roll used to smooth a pan,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as",living_dictionaries,1
"a'cji'j-, a'cji'ji-","a'cji'j-, a'cji'ji-","pisar, pisotear",to trample,verb transitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as",living_dictionaries,1
"a'cji'j-, waacji'cj-","a'cji'j-, waacji'cj-",pisar (v.t),,,,,"broomva_train,paper_2024",2
a'cy wee,a'cy wee,enfermedad contagiosa,contagious illness,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as",living_dictionaries,1
a'cy-,a'cy-,colgar (v.t),,,,,"broomva_train,paper_2024",2
"a'cy-, a'qui-","a'cy-, a'qui-",colgar,to hang,verb transitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as",living_dictionaries,1
a'cyni,a'cyni,colgado,hung,past participle,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024",3
a'cyni u'p-,a'cyni u'p-,estar colgado (v.i),,,,,"broomva_test,paper_2024",2
a'j-,a'j-,montar (a caballo) (v.t),,,,,"broomva_test,paper_2024",2
"a'j-, a'ja-","a'j-, a'ja-",montar,"to mount, ride (as a horse)",verb transitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as",living_dictionaries,1
a'jsa,a'jsa,"jinete, que monta a caballo",rider (of a horse),n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024",3
a'mbande-,a'mbande-,"1. derrumbar  2. arar, sacar paladas","1. to demolish  2. to plow, remove by shovelfuls",verb transitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024",3
a'mbate-,a'mbate-,desarraigarse,to uproot oneself,verb intransitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as",living_dictionaries,1
a'pa'pja-,a'pa'pja-,aletear (v.i.),,,,,"broomva_train,paper_2024",2
a'pja'pja-,a'pja'pja-,aletear,"to flap, flutter",verb intransitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as",living_dictionaries,1
"a'qui'cy-, a'qui'qui-","a'qui'cy-, a'qui'qui-",colgar (varias cosas),"to hang, put up (various things)",verb transitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as",living_dictionaries,1
